Context-Cat,Category,Page-URL
Clothing|Women,womens dresses,http://shop.nordstrom.com/c/womens-dresses-shop?origin=leftnav
Clothing|Women,womens coats,http://shop.nordstrom.com/c/womens-coats?origin=leftnav
Clothing|Women,womens tops tees,http://shop.nordstrom.com/c/womens-tops-tees?origin=leftnav
Clothing|Women,womens sweaters,http://shop.nordstrom.com/c/womens-sweaters?origin=leftnav
Clothing|Women,womens jeans,http://shop.nordstrom.com/c/womens-jeans-shop?origin=leftnav
Clothing|Women,jackets for women,http://shop.nordstrom.com/c/jackets-for-women?origin=leftnav
Clothing|Women,shorts women,http://shop.nordstrom.com/c/shorts-women?origin=leftnav
Clothing|Women,womens pants,http://shop.nordstrom.com/c/womens-pants?origin=leftnav
Clothing|Women,womens skirts,http://shop.nordstrom.com/c/womens-skirts?origin=leftnav
Clothing|Women,womens clothing wear to work,http://shop.nordstrom.com/c/womens-clothing-wear-to-work-shop?origin=leftnav
Clothing|Women,womens underwear lingerie,http://shop.nordstrom.com/c/womens-underwear-lingerie?origin=leftnav
Clothing|Women,womens shapewear,http://shop.nordstrom.com/c/womens-shapewear?origin=leftnav
Clothing|Women,womens sleepwear robes,http://shop.nordstrom.com/c/womens-sleepwear-robes?origin=leftnav
Clothing|Women,womens swimsuits,http://shop.nordstrom.com/c/womens-swimsuits-shop?origin=leftnav
Clothing|Women,womens plus size,http://shop.nordstrom.com/c/womens-plus-size-shop?origin=leftnav
Clothing|Women,womens petite,http://shop.nordstrom.com/c/womens-petite-shop?origin=leftnav
Clothing|Women,all juniors clothing,http://shop.nordstrom.com/c/all-juniors-clothing?origin=leftnav
Clothing|Men,mens suits sportcoats,http://shop.nordstrom.com/c/mens-suits-sportcoats?origin=leftnav
Clothing|Men,mens dress shirts ties,http://shop.nordstrom.com/c/mens-dress-shirts-ties?origin=leftnav
Clothing|Men,mens shirts,http://shop.nordstrom.com/c/mens-shirts?origin=leftnav
Clothing|Men,mens polo shirts,http://shop.nordstrom.com/c/mens-polo-shirts?origin=leftnav
Clothing|Men,mens tshirts,http://shop.nordstrom.com/c/mens-tshirts?origin=leftnav
Clothing|Men,mens hoodies fleece sweaters,http://shop.nordstrom.com/c/mens-hoodies-fleece-sweaters?origin=leftnav
Clothing|Men,mens coats jackets,http://shop.nordstrom.com/c/mens-coats-jackets?origin=leftnav
Clothing|Men,mens pants,http://shop.nordstrom.com/c/mens-pants?origin=leftnav
Clothing|Men,mens jeans,http://shop.nordstrom.com/c/mens-jeans?origin=leftnav
Clothing|Men,mens shorts swim,http://shop.nordstrom.com/c/mens-shorts-swim?origin=leftnav
Clothing|Men,mens pajamas,http://shop.nordstrom.com/c/mens-pajamas?origin=leftnav
Clothing|Men,mens underwear socks,http://shop.nordstrom.com/c/mens-underwear-socks?origin=leftnav
Clothing|Men,mens clothing sportswear,http://shop.nordstrom.com/c/mens-clothing-sportswear?origin=leftnav
